Theta1,Theta2
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1.48218,2.36278
1.82468,2.371
1.48053,2.371
1.82011,2.37915
1.47897,2.37915
1.81563,2.38722
1.47748,2.38722
1.81124,2.39521
1.47608,2.39521
1.80694,2.40312
1.47476,2.40312
1.80273,2.41096
1.47351,2.41096
1.79862,2.41871
1.47233,2.41871
1.79459,2.42637
1.47123,2.42637
1.79065,2.43396
1.47019,2.43396
1.78679,2.44145
1.46922,2.44145
1.78302,2.44885
1.46832,2.44885
1.77934,2.45617
1.46747,2.45617
1.77573,2.46339
1.46669,2.46339
1.77221,2.47051
1.46596,2.47051
1.76877,2.47754
1.46529,2.47754
1.76541,2.48446
1.46467,2.48446
1.76213,2.49129
1.4641,2.49129
1.75893,2.49801
1.46358,2.49801
1.75581,2.50462
1.46311,2.50462
1.75276,2.51112
1.46268,2.51112
1.74979,2.51751
1.46229,2.51751
1.74689,2.52378
1.46194,2.52378
1.74407,2.52994
1.46162,2.52994
1.74133,2.53597
1.46134,2.53597
1.73865,2.54188
1.46109,2.54188
1.73605,2.54767
1.46087,2.54767
1.73353,2.55332
1.46067,2.55332
1.73107,2.55884
1.4605,2.55884
1.72868,2.56422
1.46035,2.56422
1.72637,2.56946
1.46022,2.56946
1.72412,2.57456
1.4601,2.57456
1.72194,2.57952
1.46,2.57952
1.71983,2.58432
1.45991,2.58432
1.71779,2.58897
1.45982,2.58897
1.71582,2.59346
1.45975,2.59346
1.71391,2.5978
1.45967,2.5978
1.71207,2.60196
1.4596,2.60196
1.7103,2.60597
1.45953,2.60597
1.70859,2.6098
1.45945,2.6098
1.70694,2.61346
1.45937,2.61346
1.70536,2.61694
1.45928,2.61694
1.70384,2.62025
1.45917,2.62025
1.70238,2.62337
1.45905,2.62337
1.70099,2.6263
1.45892,2.6263
1.69965,2.62905
1.45877,2.62905
1.69838,2.6316
1.4586,2.6316
1.69716,2.63396
1.4584,2.63396
1.69601,2.63613
1.45818,2.63613
1.69491,2.63809
1.45793,2.63809
1.69387,2.63986
1.45765,2.63986
1.69288,2.64142
1.45734,2.64142
1.69195,2.64278
1.457,2.64278
1.69108,2.64393
1.45662,2.64393
1.69025,2.64487
1.45621,2.64487
1.68948,2.64561
1.45576,2.64561
1.68875,2.64613
1.45526,2.64613
1.68808,2.64645
1.45472,2.64645
1.68745,2.64655
1.45414,2.64655
1.68687,2.64645
1.45351,2.64645
1.68633,2.64613
1.45284,2.64613
1.68584,2.64561
1.45212,2.64561
1.68538,2.64487
1.45134,2.64487
1.68497,2.64393
1.45052,2.64393
1.68459,2.64278
1.44964,2.64278
1.68425,2.64142
1.44871,2.64142
1.68394,2.63986
1.44772,2.63986
1.68366,2.63809
