X,Y,U,V
20.2556,-1.91539,-3.83451,0.215424
20.294,-1.91738,-3.84539,0.199072
20.3326,-1.9192,-3.85558,0.182064
20.3712,-1.92085,-3.86505,0.164484
20.41,-1.92231,-3.87378,0.146416
20.4488,-1.92359,-3.88177,0.127944
20.4877,-1.92468,-3.88901,0.109146
20.5266,-1.92559,-3.8955,0.0901015
20.5657,-1.92629,-3.90126,0.0708848
20.6047,-1.92681,-3.90628,0.051567
20.6438,-1.92713,-3.91059,0.0322154
20.683,-1.92726,-3.91421,0.0128934
20.7221,-1.9272,-3.91715,-0.00634027
20.7613,-1.92694,-3.91944,-0.025431
20.8005,-1.9265,-3.92111,-0.0443288
20.8398,-1.92587,-3.92218,-0.0629881
20.879,-1.92506,-3.92269,-0.0813678
20.9182,-1.92406,-3.92267,-0.0994313
20.9574,-1.92289,-3.92214,-0.117146
20.9967,-1.92155,-3.92115,-0.134484
21.0359,-1.92003,-3.91972,-0.15142
21.075,-1.91835,-3.91788,-0.167934
21.1142,-1.91651,-3.91568,-0.18401
21.1533,-1.91452,-3.91313,-0.199632
21.1924,-1.91237,-3.91028,-0.214791
21.2315,-1.91007,-3.90714,-0.229479
21.2705,-1.90764,-3.90376,-0.243691
21.3095,-1.90506,-3.90015,-0.257424
21.3485,-1.90235,-3.89635,-0.270677
21.3874,-1.89952,-3.89237,-0.283453
21.4263,-1.89656,-3.88825,-0.295755
21.4651,-1.89349,-3.884,-0.307587
21.5039,-1.8903,-3.87965,-0.318956
21.5427,-1.887,-3.87521,-0.329869
21.5814,-1.8836,-3.87071,-0.340336
21.6201,-1.88009,-3.86616,-0.350365
21.6587,-1.87649,-3.86158,-0.359967
21.6972,-1.8728,-3.85699,-0.369153
21.7358,-1.86902,-3.85238,-0.377934
21.7742,-1.86516,-3.84779,-0.386321
21.8127,-1.86121,-3.84322,-0.394328
21.8511,-1.85719,-3.83868,-0.401967
21.8894,-1.8531,-3.83417,-0.409249
21.9277,-1.84894,-3.82972,-0.416187
21.966,-1.84471,-3.82532,-0.422794
22.004,-1.84066,-3.80388,-0.40517
22.042,-1.83657,-3.79854,-0.409299
22.0799,-1.83244,-3.79327,-0.413064
22.1178,-1.82827,-3.78808,-0.416475
22.1556,-1.82408,-3.78297,-0.419544
22.1934,-1.81985,-3.77794,-0.422282
22.2311,-1.81561,-3.773,-0.424697
22.2688,-1.81134,-3.76816,-0.426802
22.3064,-1.80705,-3.76342,-0.428605
22.344,-1.80275,-3.75878,-0.430117
22.3816,-1.79844,-3.75425,-0.431348
22.4191,-1.79412,-3.74983,-0.432306
22.4565,-1.78979,-3.74552,-0.433003
22.4939,-1.78545,-3.74133,-0.433446
